train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ee_pose_success_Average,ee_pose_success_Std,ee_pose_success_Median,ee_pose_success_Min,ee_pose_success_Max,eval_ee_pose_success_Average,eval_ee_pose_success_Std,eval_ee_pose_success_Median,eval_ee_pose_success_Min,eval_ee_pose_success_Max,euclidean_distance_Average,euclidean_distance_Std,euclidean_distance_Median,euclidean_distance_Min,euclidean_distance_Max,eval_euclidean_distance_Average,eval_euclidean_distance_Std,eval_euclidean_distance_Median,eval_euclidean_distance_Min,eval_euclidean_distance_Max,target_coord_Average,target_coord_Std,target_coord_Median,target_coord_Min,target_coord_Max,eval_target_coord_Average,eval_target_coord_Std,eval_target_coord_Median,eval_target_coord_Min,eval_target_coord_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,goal_relative_distance_Average,goal_relative_distance_Std,goal_relative_distance_Median,goal_relative_distance_Min,goal_relative_distance_Max,eval_goal_relative_distance_Average,eval_goal_relative_distance_Std,eval_goal_relative_distance_Median,eval_goal_relative_distance_Min,eval_goal_relative_distance_Max,Initial_DataCollection_AverageReturn,step
334.6923076923077,178.57184919646147,353.0,21,501,183.33333333333334,174.56175284281363,115.0,1,501,-147.81152,82.85452,-150.58688,-275.08075,-7.7047534,-78.440544,82.07036,-46.27133,-237.54575,-0.07241488,4201,76.82726311683655,-0.44163412,0.1660534,-0.43226653,-1.0393492,-0.04161573,-0.42785752,0.17126586,-0.4197425,-1.0023179,-0.027862787,0.029418524477131693,0.16897655131621103,0.0,False,True,0.05840909090909091,0.2345153918365796,0.0,False,True,0.3315346263811164,0.11952794860429959,0.33798071046358386,0.016334107450839054,0.6930845250928993,0.3317365488350804,0.15824823559686796,0.3018534804196702,0.0006433147182421658,0.7627006451593776,0.18853137209836815,0.350356676169464,0.2,-0.3,0.8,0.1958939393939394,0.3845774394487617,0.3,-0.3,0.8,0.0018386577798207308,0.04284013442310185,0.0,False,True,0.004545454545454545,0.06726658448613065,0.0,False,True,0.65861785,0.44502664,0.60233045,0.0011055283,1.719671,0.6555075,0.45375252,0.58559525,0.0018436164,1.8289554,-147.81152,0
190.72727272727272,185.1488791162845,120.5,1,501,241.1764705882353,195.4639233432086,160.0,1,501,-86.38189,93.9327,-46.289547,-268.2788,-0.082780585,-105.79226,89.70381,-78.23658,-261.33423,-0.05906019,46523,288.63419485092163,-0.45290792,0.18368769,-0.43969628,-1.0717251,-0.043689318,-0.4386508,0.17202982,-0.427383,-0.9293509,-0.045760263,0.012631077216396568,0.11167601848539369,0.0,False,True,0.013658536585365854,0.11606886302412064,0.0,False,True,0.34044929416060354,0.12748666443489134,0.35593693366055285,0.018332398745273898,0.6880641496652082,0.3579420815425614,0.16546390811905842,0.3183302316134576,0.016758940796905715,0.7992719786847954,0.1901890689545599,0.3536318388382087,0.2,-0.3,0.8,0.1441219512195122,0.3468634155259662,0.2,-0.3,0.8,0.004051477597712107,0.06352214674416588,0.0,False,True,0.0034146341463414634,0.058335018813643155,0.0,False,True,0.65132135,0.4584657,0.5685446,0.0011997074,1.872373,0.64978194,0.44610927,0.55319065,0.00023765117,1.7201428,-147.81152,10
218.31578947368422,183.63466380477442,148.0,19,501,191.72727272727272,158.50643285431144,144.0,6,501,-89.66262,80.604004,-60.390175,-244.723,-4.9720445,-76.44184,66.59321,-58.142654,-243.37317,-1.0495582,89751,508.0618703365326,-0.41070145,0.16100456,-0.39947423,-1.0066788,-0.035241317,-0.39870092,0.16083612,-0.3779818,-0.98288053,-0.042046905,0.033751205400192864,0.1805880990935639,0.0,False,True,0.028686581318160265,0.1669241186001497,0.0,False,True,0.35838674692151057,0.16034716869109236,0.34395549562715666,0.054423944915688235,0.6945688745006273,0.29604999849936514,0.13718222153854623,0.2654175587941306,0.014876403829995154,0.6935346721322913,0.1346914175506268,0.3941200048129753,0.0,-0.3,0.8,0.15707286233602025,0.3506910221937981,0.1,-0.3,0.8,0.0036162005785920926,0.06002602495557642,0.0,False,True,0.0045045045045045045,0.06696427363656984,0.0,False,True,0.65045017,0.44675416,0.5624188,0.00039874762,1.7271458,0.655911,0.4563189,0.5694182,0.0001049526,1.9511901,-147.81152,20
250.61111111111111,153.53433886227714,195.0,1,501,161.6153846153846,180.85610024017117,80.5,2,501,-102.86954,66.496,-86.97689,-222.9929,-0.073701344,-70.23294,90.585014,-31.050463,-285.0901,-0.20006222,132228,715.1035883426666,-0.41047478,0.17142636,-0.38779482,-1.0273838,-0.044052076,-0.4345684,0.18537419,-0.40861982,-1.0997843,-0.036690835,0.009532254489026823,0.09716681847926921,0.0,False,True,0.017372679676344597,0.13065553825692855,0.0,False,True,0.36287119854481736,0.15688020186209556,0.3231785515190033,0.013036319948199782,0.8988066953176382,0.41018968304921993,0.180967196553489,0.4057407765215545,0.018388272293468236,0.7519097287998194,0.18163747875563432,0.36603637612446305,0.2,-0.3,0.8,0.1098683166745994,0.347885475998997,0.0,-0.3,0.8,0.0033252050543116827,0.05756863786523408,0.0,False,True,0.004997620180866254,0.07051697649072919,0.0,False,True,0.656508,0.4541109,0.5787591,4.360825e-05,1.7605537,0.65802044,0.45033863,0.56459653,0.0028419755,1.7814634,-147.81152,30
242.33333333333334,182.37050200073472,186.0,1,501,140.4,145.13938128571445,77.5,2,501,-95.039795,73.13581,-79.57704,-244.7805,-0.09310125,-60.01325,67.77885,-29.426476,-270.30612,-0.19911265,175762,936.2058529853821,-0.39218622,0.15825567,-0.38029796,-0.88663024,-0.02664783,-0.4274448,0.1817107,-0.4096145,-1.0929345,-0.029609187,0.08986703347088491,0.2859911707833439,0.0,False,True,0.05151946818613485,0.2210547728142342,0.0,False,True,0.24861492030080545,0.10267633687988459,0.2552489283739484,0.019289698724174163,0.6911260068636865,0.33586069925568346,0.15893155594053132,0.3514729795773958,0.015231510515099732,0.719821184623942,0.16779000458505272,0.35622169114125884,0.1,-0.3,0.8,0.18107787274453938,0.3714065689464445,0.2,-0.3,0.8,0.0032095369096744614,0.05656178729937641,0.0,False,True,0.006885090218423552,0.08269030022383352,0.0,False,True,0.64573425,0.45895368,0.5637331,0.00028019398,1.779872,0.65118706,0.45853484,0.5658744,0.00036675856,1.8260295,-147.81152,40
220.78947368421052,178.2247483988356,159.0,4,501,185.65217391304347,177.58711486152174,168.0,1,501,-89.27491,80.00722,-56.20946,-246.26154,-0.788697,-74.085106,75.23332,-58.88195,-270.01245,-0.08588931,219105,1139.3542437553406,-0.40434408,0.17190576,-0.3773861,-0.9313206,-0.03661002,-0.39905328,0.16209443,-0.37350768,-1.0329127,-0.049148954,0.04362336114421931,0.20425563274167088,0.0,False,True,0.042388758782201406,0.20147444480902718,0.0,False,True,0.323424825883556,0.13012755562041403,0.33535251948434963,0.006696241498092432,0.6589508511641166,0.3119136094605871,0.1270145891850063,0.30625021424124554,0.03370093904011536,0.638479390977885,0.16756456098529998,0.34753457724855136,0.1,-0.3,0.8,0.1692349726775956,0.3724411005236524,0.1,-0.3,0.8,0.003575685339690107,0.05969003111107944,0.0,False,True,0.004449648711943794,0.06655711335600493,0.0,False,True,0.6526789,0.44527254,0.5712825,8.769706e-05,1.7569306,0.6567855,0.4599464,0.59460986,0.00010346621,1.7608249,-147.81152,50
214.55,179.44789633762778,150.5,11,501,182.4,176.83529059551432,99.0,1,501,-89.671394,82.28226,-61.62722,-256.6302,-3.566782,-78.1867,84.8806,-37.784466,-287.83313,-0.05144511,262175,1352.580680847168,-0.41795105,0.16819331,-0.40686107,-0.96872777,-0.03968524,-0.42865515,0.17854702,-0.41792458,-0.98041433,-0.05144511,0.09904451176881846,0.29872177097977787,0.0,False,True,0.0331140350877193,0.1789343336755934,0.0,False,True,0.2832915424570233,0.13301427211969022,0.28749425371014475,0.016190631444024984,0.8686367398717285,0.3727398641604653,0.16896201712305292,0.35818715002330714,0.030548428216930153,0.9081732555427768,0.20614464382816747,0.38039257756168804,0.3,-0.3,0.8,0.16047514619883038,0.3811301016097374,0.0,-0.3,0.8,0.0037287345607084597,0.0609494142653089,0.0,False,True,0.004605263157894736,0.06770564754244118,0.0,False,True,0.6614444,0.45811605,0.55839205,0.00047817826,1.8377514,0.6524583,0.4516838,0.56403685,4.2691827e-05,1.7590202,-147.81152,60
279.2,175.6762932213678,315.0,1,501,286.8125,178.19379154097933,296.0,1,501,-121.82449,84.87044,-144.71458,-246.6363,-0.07747704,-119.067215,87.04659,-94.73837,-259.30115,-0.09343581,305319,1556.1608335971832,-0.43633416,0.18147393,-0.42259914,-1.1335722,-0.045431964,-0.41513953,0.17029107,-0.39824066,-1.0764852,-0.017606512,0.012655205348615091,0.11178126464752255,0.0,False,True,0.09980387884070603,0.29973832689373525,0.0,False,True,0.43289306328002436,0.17742120968522784,0.4175033759916997,0.041095476623789234,0.863559279122902,0.33850616209005224,0.17968685325958925,0.3342631698308991,0.016428096302589786,0.7543729424135109,0.16314071951607767,0.3878569585718825,0.0,-0.3,0.8,0.16363042057093047,0.3628014361587816,0.0,-0.3,0.8,0.0031041069723018147,0.05562797400774471,0.0,False,True,0.002397036391370669,0.04890082420480368,0.0,False,True,0.6444977,0.45104706,0.5740919,0.00018853694,1.8110261,0.66007596,0.45591396,0.571127,0.0001395531,1.7531087,-147.81152,70
207.47619047619048,185.1132520911813,158.0,4,501,213.95,198.5176251620999,158.5,1,501,-83.82686,80.89521,-61.286697,-253.301,-0.5067774,-84.39776,84.08024,-56.37469,-238.33899,-0.0947732,347830,1754.1854693889618,-0.40403122,0.16630866,-0.38379377,-0.9278046,-0.04001021,-0.39447424,0.16334319,-0.37546974,-1.0142393,-0.043262545,0.01652513197154005,0.1274835361325659,0.0,False,True,0.038560411311053984,0.19254481553803604,0.0,False,True,0.313151974669176,0.1043684668739309,0.3185737907047389,0.012061181914135717,0.7867603289795061,0.2437392112344293,0.11601608152113693,0.21340794664394894,0.03309150504628607,0.7770023808639483,0.1829087292479535,0.33526125317595273,0.2,-0.3,0.8,0.1319856664329672,0.36286134535457165,-0.1,-0.3,0.8,0.0039017672710580675,0.06234214852906953,0.0,False,True,0.003271792474877308,0.057105935320933526,0.0,False,True,0.6497309,0.4514811,0.58142686,0.0002754666,1.7911452,0.655779,0.45242777,0.5766686,0.0012242869,1.7444491,-147.81152,80
244.83333333333334,179.4544974824166,231.5,5,501,278.73333333333335,230.0636047318702,420.0,1,501,-104.66562,87.20298,-86.232376,-265.25006,-0.7356409,-105.5117,89.257675,-146.95612,-237.80385,-0.09340758,390264,1958.9312670230865,-0.42749748,0.17244774,-0.41169152,-0.9909596,-0.056669805,-0.37853992,0.1542835,-0.35386452,-1.0870235,-0.05961458,0.02609484910369866,0.15941740166604731,0.0,False,True,0.024156900263094954,0.15353613396452911,0.0,False,True,0.32252200135400055,0.15122189152375765,0.2966530207107869,0.03305505178342776,0.6971873555121377,0.28415056039938985,0.12205127060103696,0.2637684688593259,0.015006138932262809,0.8757868489346935,0.1619166477573557,0.40067968803073933,0.0,-0.3,0.8,0.17569959339870841,0.3916689255518217,-0.1,-0.3,0.8,0.0034036759700476512,0.05824166000328779,0.0,False,True,0.0019134178426213825,0.04370076286268834,0.0,False,True,0.66311985,0.4618192,0.59084636,0.00015810505,1.7472181,0.64787215,0.4538522,0.55256194,0.0011700876,1.8188555,-147.81152,90
